module,contributor,author,commentor,integrator,churn,entropy,size,p1,p2,p3,p4,p5,p6,p7,p8,top_iso,top_rso,top_tco,status
2891,9,6,6,3,356,0.630010,0,0.222222,0.000000,0.111111,0.000000,0.000000,0.222222,0.222222,0.222222,0.50000000000000000000,0.38000000000000000000,0.39325842696629213483,FALSE
2892,9,6,6,3,361,0.629389,0,0.222222,0.000000,0.111111,0.000000,0.000000,0.222222,0.222222,0.222222,0.50000000000000000000,0.38000000000000000000,0.39335180055401662050,FALSE
2893,8,3,6,3,8,,0,0.125000,0.000000,0.250000,0.000000,0.125000,0.125000,0.125000,0.250000,0.50000000000000000000,0.37500000000000000000,0.50000000000000000000,FALSE
2894,8,3,6,3,43,,0,0.125000,0.000000,0.250000,0.000000,0.000000,0.000000,0.250000,0.375000,0.42860000000000000000,0.37500000000000000000,0.90697674418604651163,FALSE
2895,6,2,3,3,6,0.000000,0,0.166667,0.000000,0.166667,0.166667,0.000000,0.166667,0.166667,0.166667,0.50000000000000000000,0.50000000000000000000,0.66666666666666666667,FALSE
2896,8,3,6,3,42,,0,0.125000,0.000000,0.250000,0.000000,0.000000,0.000000,0.250000,0.375000,0.42860000000000000000,0.37500000000000000000,0.90476190476190476190,FALSE
2897,13,9,9,3,434,0.718226,0,0.000000,0.000000,0.153846,0.076923,0.000000,0.153846,0.000000,0.615385,0.46150000000000000000,0.52417027417027417027,0.50000000000000000000,FALSE
2898,14,9,9,3,6975,,0,0.142857,0.000000,0.071429,0.000000,0.000000,0.285714,0.000000,0.500000,0.58820000000000000000,0.56962481962481962482,0.25261648745519713262,FALSE
2899,13,8,9,3,166,,0,0.000000,0.000000,0.153846,0.076923,0.000000,0.153846,0.000000,0.615385,0.43750000000000000000,0.56382275132275132275,0.73493975903614457831,FALSE
2900,9,5,5,3,2677,,0,0.222222,0.000000,0.000000,0.111111,0.111111,0.111111,0.222222,0.222222,0.84620000000000000000,0.56666666666666666667,0.39297721329846843482,FALSE
2901,14,9,8,3,908,,0,0.071429,0.000000,0.142857,0.000000,0.142857,0.357143,0.071429,0.214286,0.73330000000000000000,0.50890012254901960784,0.27092511013215859031,FALSE
2902,9,4,6,3,512,0.497558,0,0.000000,0.000000,0.333333,0.000000,0.000000,0.222222,0.111111,0.333333,0.50000000000000000000,0.42857142857142857143,0.79492187500000000000,FALSE
2903,22,15,12,2,1074,,0,0.045455,0.000000,0.045455,0.000000,0.000000,0.227273,0.045455,0.636364,0.74290000000000000000,0.60236672794117647059,0.34729981378026070764,FALSE
2904,6,5,2,3,9,,0,0.166667,0.166667,0.166667,0.000000,0.000000,0.500000,0.000000,0.000000,0.70000000000000000000,0.66666666666666666667,0.33333333333333333333,FALSE
2905,8,4,6,3,222,,0,0.250000,0.000000,0.125000,0.000000,0.000000,0.250000,0.125000,0.250000,0.60000000000000000000,0.34907407407407407407,0.33333333333333333333,FALSE
2906,8,4,6,3,340,,0,0.250000,0.000000,0.125000,0.000000,0.000000,0.250000,0.125000,0.250000,0.66670000000000000000,0.34444444444444444444,0.40000000000000000000,FALSE
2907,8,4,6,3,84,,0,0.250000,0.000000,0.125000,0.000000,0.000000,0.250000,0.125000,0.250000,0.60000000000000000000,0.34907407407407407407,0.33333333333333333333,FALSE
2908,8,4,6,3,24,,0,0.250000,0.000000,0.125000,0.000000,0.000000,0.250000,0.125000,0.250000,0.60000000000000000000,0.34907407407407407407,0.33333333333333333333,FALSE
2909,14,9,9,3,402,,0,0.142857,0.000000,0.071429,0.000000,0.071429,0.428571,0.071429,0.214286,0.64710000000000000000,0.41354393609295570080,0.24626865671641791045,FALSE
2910,6,0,6,3,0,,0,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.166667,0.333333,0.60000000000000000000,0.34907407407407407407,0.00000000000000000000,FALSE
