module,contributor,author,commentor,integrator,churn,entropy,size,p1,p2,p3,p4,p5,p6,p7,p8,top_iso,top_rso,top_tco,status
1371,34,9,34,3,183,0.617311,82,0.000000,0.000000,0.058824,0.029412,0.058824,0.029412,0.058824,0.764706,0.85710000000000000000,0.15509968057814947767,0.62295081967213114754,FALSE
1372,19,3,19,2,106,0.832946,23,0.000000,0.000000,0.052632,0.052632,0.105263,0.000000,0.263158,0.526316,0.75000000000000000000,0.20383963862224731790,0.73584905660377358491,FALSE
1373,14,1,14,1,24,,2,0.000000,0.000000,0.000000,0.071429,0.071429,0.000000,0.285714,0.571429,1.00000000000000000000,0.31677018633540372671,1.00000000000000000000,FALSE
1375,34,13,34,6,835,0.710528,0,0.000000,0.000000,0.029412,0.029412,0.029412,0.176471,0.147059,0.588235,0.80770000000000000000,0.15772843340234644582,0.26347305389221556886,TRUE
1376,14,4,14,1,23,0.861132,99,0.000000,0.000000,0.071429,0.000000,0.214286,0.071429,0.285714,0.357143,1.00000000000000000000,0.24682539682539682540,0.43478260869565217391,FALSE
1377,15,4,15,2,19,0.764714,31,0.000000,0.000000,0.000000,0.133333,0.200000,0.066667,0.200000,0.400000,0.75000000000000000000,0.30486111111111111111,0.31578947368421052632,FALSE
1381,15,4,15,1,56,0.434081,56,0.000000,0.000000,0.066667,0.000000,0.200000,0.066667,0.133333,0.533333,1.00000000000000000000,0.20674603174603174603,0.42857142857142857143,TRUE
1383,11,2,11,2,103,0.656952,98,0.000000,0.000000,0.181818,0.000000,0.090909,0.090909,0.272727,0.363636,0.66670000000000000000,0.25277777777777777778,0.87378640776699029126,FALSE
1384,11,2,11,2,65,0.460861,20,0.000000,0.000000,0.181818,0.000000,0.090909,0.090909,0.272727,0.363636,0.66670000000000000000,0.25277777777777777778,0.89230769230769230769,FALSE
1385,23,5,23,1,127,0.313636,502,0.000000,0.000000,0.043478,0.000000,0.130435,0.043478,0.130435,0.652174,1.00000000000000000000,0.19907006573673240340,0.55905511811023622047,TRUE
